Team Names	Score
Gonzaga	87.8
Duke	83.2
Alabama	83.0
Wright State	80.7
Oral Roberts	80.4
LSU	80.2
Dayton	80.0
BYU	80.0
Houston Bap	79.9
Belmont	79.8
WI-Grn Bay	79.7
W Carolina	78.7
Ste F Austin	78.5
Auburn	78.3
Winthrop	78.2
Iowa	78.2
S Dakota St	78.2
South Dakota	77.9
Marquette	77.8
Creighton	77.7
Sam Hous St	77.6
Buffalo	77.5
Nevada	77.4
E Washingtn	77.3
Georgia St	77.2
Arizona	77.1
Portland St	77.0
California Baptist	76.8
New Mexico	76.7
N Florida	76.4
St Fran (PA)	76.4
McNeese St	76.3
Pepperdine	76.2
TX-San Ant	76.1
Austin Peay	76.1
Central Mich	76.1
Georgia	75.9
Furman	75.7
Coastal Car	75.7
Georgetown	75.7
Penn State	75.7
Michigan St	75.6
Florida St	75.5
Michigan	75.4
Hofstra	75.2
Oregon	75.2
Yale	75.2
Colgate	75.0
Central Ark	75.0
W Kentucky	75.0
Louisville	75.0
Hampton	75.0
LIU	74.9
St Marys	74.8
Colorado St	74.8
Boise State	74.8
Rhode Island	74.7
Kansas	74.7
Seton Hall	74.7
Kentucky	74.6
Utah State	74.6
NC-Asheville	74.6
Notre Dame	74.6
Richmond	74.5
Toledo	74.5
Neb Omaha	74.5
Kent State	74.5
NC State	74.5
Mass Lowell	74.5
San Diego St	74.4
Arkansas	74.4
S Methodist	74.4
Marshall	74.3
N Iowa	74.3
Santa Clara	74.2
St Johns	74.2
Akron	74.2
San Fransco	74.0
Florida Intl	74.0
Syracuse	73.9
Murray St	73.9
Miss State	73.9
Bowling Grn	73.8
E Tenn St	73.8
Villanova	73.8
Arizona St	73.6
Delaware	73.6
Cal St Nrdge	73.5
Cincinnati	73.5
Loyola-MD	73.4
TN Martin	73.4
LA Tech	73.4
E Kentucky	73.1
E Illinois	73.1
GA Southern	73.1
Wake Forest	73.1
Miami (FL)	73.1
Harvard	73.0
Davidson	73.0
Rice	73.0
N Colorado	73.0
Texas Tech	72.9
North Dakota	72.8
Abl Christian	72.8
Iowa State	72.8
Houston	72.8
Sacred Hrt	72.8
Memphis	72.6
Beth-Cook	72.6
AR Lit Rock	72.6
S Carolina	72.6
Florida	72.6
W Illinois	72.5
Air Force	72.4
N Dakota St	72.4
Wichita St	72.2
Seattle	72.2
Samford	72.1
NC-Grnsboro	72.0
Ohio State	72.0
Connecticut	72.0
Chattanooga	72.0
